model,es,diff_nu/es,diff_tail/es,diff_nu/true_f,diff_tail/true_f_tail
Linear,2.68,0.55,-0.07,0.50,-0.06
Poly,2.75,0.53,-0.08,0.50,-0.08
NN,2.84,0.37,-0.14,0.36,-0.13
