model,es,diff_nu/es,diff_tail/es,diff_nu/true_f,diff_tail/true_f_tail
Linear,2.68,-0.02,0.09,-0.03,0.15
Poly,2.75,-0.03,0.07,-0.05,0.11
NN,2.85,-0.03,0.03,-0.06,0.05
